metro_area,customer_satisfaction,BusinessAcceptsCreditCards,WheelchairAccessible,OutdoorSeating,HasTV,DogsAllowed,GoodForKids,RestaurantsGoodForGroups,DriveThru,RestaurantsPriceRange2,latenight,lunch,dinner,breakfast,HasFreeWiFi
Indianapolis,25,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
New Orleans,77,1,NA,1,1,NA,1,1,1,1,0,1,0,0,1
Indianapolis,0,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,0
Santa Barbara,-43,1,NA,0,1,NA,1,1,1,1,1,1,0,1,0
St Louis,-19.5,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,1
New Orleans,0,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Nashville,20,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,0
Tampa,14,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Indianapolis,10.5,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,0
Philadelphia,0,1,NA,0,NA,NA,1,1,1,1,NA,NA,NA,NA,NA
Tucson,-10.5,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,1
Boise,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
Boise,9,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,NA
New Orleans,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Boise,-9,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Indianapolis,0,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA
Philadelphia,0,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Philadelphia,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Tampa,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Nashville,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
St Louis,21.5,1,1,0,1,NA,1,1,1,1,0,1,0,0,0
Boise,6.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Tucson,-12.5,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,1
Boise,0,1,NA,0,1,NA,1,1,1,1,0,1,1,0,0
Tucson,0,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,1
Reno,0,1,NA,0,1,NA,1,0,NA,1,NA,1,1,0,0
New Orleans,22,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
Santa Barbara,9,1,NA,0,0,NA,1,1,NA,1,0,1,0,0,NA
Philadelphia,-7.5,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,1
Nashville,0,1,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1
Tucson,22,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,0
Santa Barbara,17.5,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
St Louis,3,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
Indianapolis,0,1,NA,0,1,NA,1,0,1,1,NA,NA,NA,NA,0
Nashville,-3,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Nashville,-12,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1
Tampa,-15,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
Tampa,73,1,NA,1,1,NA,1,1,1,1,0,1,1,1,1
Santa Barbara,456,1,NA,NA,0,0,1,1,1,1,1,1,1,0,0
St Louis,10.5,1,NA,0,1,NA,1,1,0,1,0,0,0,0,0
New Orleans,2.5,1,NA,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA
Tampa,20,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1
Nashville,60,1,1,0,1,NA,1,1,1,1,0,1,0,0,0
Tampa,9,1,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Reno,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nashville,-9,1,NA,0,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA
Indianapolis,30,1,1,0,0,NA,1,1,1,1,NA,NA,NA,NA,0
Indianapolis,13,1,NA,1,1,NA,1,1,1,1,0,0,0,1,0
Indianapolis,5.5,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
Tucson,24,1,NA,NA,1,NA,1,0,1,1,0,0,0,0,0
Boise,-11,1,NA,0,1,NA,1,1,1,2,NA,NA,NA,NA,NA
Indianapolis,7.5,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1
Indianapolis,-10.5,1,NA,0,1,NA,0,0,NA,1,NA,NA,NA,NA,0
Indianapolis,16.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Indianapolis,42,1,NA,1,NA,NA,0,1,NA,2,NA,NA,NA,NA,1
Tucson,18,1,NA,0,1,NA,1,1,1,1,0,0,0,1,1
Tucson,100.5,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Nashville,-13,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
New Orleans,8,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,NA
Tampa,-8.5,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,0
Nashville,65,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
St Louis,30,1,NA,1,NA,0,NA,NA,NA,2,NA,NA,NA,NA,1
Nashville,0,1,NA,NA,0,NA,1,0,1,1,NA,NA,NA,NA,NA
Nashville,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Philadelphia,-3,1,1,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0
Reno,6,1,NA,1,0,NA,1,1,NA,1,NA,NA,NA,NA,1
Nashville,14,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,0
New Orleans,36,1,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tucson,9.5,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0
Tucson,-14,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
Indianapolis,15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
St Louis,16.5,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
St Louis,-4,1,NA,1,1,NA,0,0,NA,1,NA,NA,NA,NA,0
Philadelphia,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
New Orleans,19,1,NA,0,0,NA,1,1,NA,1,NA,NA,NA,NA,0
Nashville,168,1,NA,1,1,NA,1,1,1,1,0,1,1,1,1
Philadelphia,0,1,NA,0,1,NA,1,1,NA,1,1,0,0,0,0
New Orleans,7,1,NA,0,0,NA,1,1,NA,1,NA,NA,NA,NA,0
Tampa,0,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tampa,-9.5,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA
Indianapolis,58.5,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Tampa,210,1,NA,1,1,0,1,1,1,1,0,1,1,0,0
Indianapolis,140,1,NA,0,0,1,1,1,0,1,0,1,1,0,0
Tucson,24,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Tampa,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,NA
Reno,41,1,NA,1,NA,0,NA,NA,NA,2,NA,NA,NA,NA,1
Indianapolis,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
Tucson,0,1,NA,1,1,NA,1,1,1,1,0,0,0,0,1
St Louis,195,1,NA,1,1,0,1,1,1,1,0,1,1,1,1
Philadelphia,94.5,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Boise,60,1,NA,1,1,NA,1,1,1,1,0,1,1,0,1
Indianapolis,30,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Santa Barbara,38,1,NA,1,1,NA,1,1,0,1,0,1,1,0,0
Nashville,13.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Philadelphia,10,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Tampa,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
New Orleans,-19.5,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,0
Indianapolis,-7,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,1
St Louis,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Indianapolis,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,NA
Tucson,0,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,NA
St Louis,8,1,NA,0,0,NA,1,1,NA,2,NA,NA,NA,NA,NA
Tampa,9.5,1,NA,NA,1,NA,1,0,NA,1,0,0,0,0,NA
Indianapolis,7.5,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,0
St Louis,0,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,NA
St Louis,-28,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
Tampa,72,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Nashville,29,1,NA,0,1,NA,1,1,NA,1,0,1,0,0,1
Tampa,10,1,NA,1,1,NA,1,1,1,1,0,0,0,0,1
St Louis,13,1,1,1,1,NA,1,1,1,1,0,0,0,0,0
Reno,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,NA
Tampa,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,NA
Santa Barbara,32,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,0
Boise,20,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tampa,31.5,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Philadelphia,57,1,NA,0,NA,1,0,NA,NA,2,NA,NA,NA,NA,1
St Louis,0,1,NA,NA,NA,NA,1,1,NA,1,0,0,0,0,NA
Nashville,20,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Philadelphia,-4.5,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1
Reno,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Philadelphia,3,1,NA,NA,NA,NA,1,1,1,1,0,0,0,0,NA
Tucson,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Tucson,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis,0,1,NA,0,1,NA,1,0,NA,1,0,0,0,0,NA
St Louis,-3.5,1,NA,0,0,NA,NA,0,1,1,0,0,0,0,0
Tucson,40.5,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,0
Tucson,128,1,NA,1,1,NA,1,1,NA,1,0,1,1,1,1
Tampa,9,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Tucson,11,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Indianapolis,72,1,NA,1,1,NA,1,1,NA,1,0,0,0,0,1
Nashville,0,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Nashville,-17.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Tucson,62,1,NA,0,1,NA,1,0,NA,2,0,1,0,0,0
Indianapolis,-7.5,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
Tampa,23.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Tampa,19.5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA
Indianapolis,0,1,NA,0,1,NA,1,0,1,1,NA,NA,NA,NA,1
Philadelphia,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tucson,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Reno,12,1,NA,0,1,NA,1,1,0,1,0,0,0,0,1
New Orleans,73,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Philadelphia,0,1,NA,0,1,NA,1,1,1,1,0,0,0,1,1
Philadelphia,7.5,1,NA,0,NA,NA,1,1,1,1,0,0,0,0,NA
Indianapolis,-4,1,NA,0,1,NA,0,0,NA,1,0,0,0,0,0
St Louis,8,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Santa Barbara,10,1,NA,1,0,NA,1,1,NA,1,NA,NA,NA,NA,NA
Philadelphia,6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Boise,5,1,NA,0,NA,NA,1,1,1,1,0,0,0,0,NA
Tampa,-11.5,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
Indianapolis,152,1,NA,1,1,NA,1,1,1,1,0,1,1,0,1
Boise,8,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,1
Tampa,70.5,1,NA,0,1,0,1,1,1,1,0,1,1,1,1
Philadelphia,10,1,NA,NA,0,NA,1,1,NA,1,NA,NA,NA,NA,NA
Philadelphia,-9,1,NA,0,1,NA,0,1,NA,1,0,0,0,0,NA
Tucson,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
St Louis,56,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Reno,0,1,NA,0,1,0,1,1,NA,1,0,0,0,0,1
Indianapolis,0,1,NA,NA,1,NA,0,0,NA,1,0,0,0,0,0
Nashville,28,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tucson,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Reno,18.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nashville,0,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,0
New Orleans,-5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
Indianapolis,-4,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Reno,11.5,1,NA,0,NA,NA,1,1,NA,1,0,0,0,0,NA
Indianapolis,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Tampa,-2.5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Tampa,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Tucson,74,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tucson,-7.5,1,NA,NA,1,NA,0,0,1,1,0,0,0,0,NA
Indianapolis,10.5,1,NA,1,1,NA,1,1,0,1,0,0,0,0,0
Nashville,6,1,NA,0,0,NA,1,1,NA,1,NA,NA,NA,NA,0
Tucson,0,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,0
Nashville,-8,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
Tucson,0,1,NA,0,1,NA,1,1,1,1,0,0,0,1,1
Philadelphia,43.5,1,NA,1,NA,NA,0,NA,NA,2,NA,NA,NA,NA,1
Tucson,-15,1,NA,0,0,NA,0,1,NA,1,NA,NA,NA,NA,0
St Louis,-11,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
Tucson,0,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,0
Indianapolis,25,1,NA,1,NA,0,NA,NA,NA,2,NA,NA,NA,NA,1
Indianapolis,45,1,NA,1,1,NA,1,1,1,1,0,0,0,0,1
St Louis,0,1,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Nashville,5,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Philadelphia,78,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Indianapolis,0,1,NA,1,1,0,1,1,NA,1,0,1,0,1,1
Indianapolis,40.5,1,NA,1,0,1,1,1,1,1,0,0,0,0,1
Tucson,0,1,NA,NA,1,NA,1,0,NA,1,NA,NA,NA,NA,NA
Reno,113,1,NA,1,1,NA,1,1,NA,2,0,1,1,0,0
New Orleans,7,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,0
St Louis,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Tampa,18,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,0
Philadelphia,-5,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Boise,18,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,NA
Indianapolis,30,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1
Tucson,12,1,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA
Philadelphia,72,1,NA,0,0,NA,1,1,NA,1,0,1,0,0,0
Indianapolis,-14,1,NA,NA,NA,NA,1,1,NA,1,0,0,0,0,NA
Tampa,0,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,0
Philadelphia,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Nashville,17,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,1
Reno,64,1,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1
Tucson,15,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tucson,58.5,1,NA,0,1,NA,1,1,1,1,0,0,0,1,0
Philadelphia,2.5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
St Louis,-39.5,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
New Orleans,0,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,0
Indianapolis,0,1,NA,NA,NA,NA,1,NA,NA,1,0,0,0,0,NA
Tucson,14,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,0
Philadelphia,-6.5,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Philadelphia,-11,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
Tampa,3.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Indianapolis,10.5,1,NA,0,1,NA,1,1,NA,2,NA,NA,NA,NA,0
Reno,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis,68,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Indianapolis,43.5,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Boise,6,1,1,1,1,0,1,1,1,1,0,0,0,0,0
Indianapolis,-5,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1
Tucson,106,1,NA,1,0,NA,1,1,0,1,0,1,1,0,0
St Louis,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,0
Tampa,7,1,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0
Santa Barbara,28,1,NA,1,1,NA,1,1,1,1,0,1,0,0,1
Tampa,300,1,NA,0,1,0,1,1,1,1,0,1,0,0,0
Indianapolis,0,1,NA,0,0,NA,1,1,NA,1,NA,NA,NA,NA,NA
Nashville,0,1,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA
St Louis,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,0
St Louis,-15.5,1,NA,1,1,NA,1,1,1,1,0,0,0,1,1
Indianapolis,142.5,1,NA,1,0,NA,1,1,NA,1,0,1,0,0,0
Philadelphia,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
St Louis,14,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,0
Philadelphia,0,1,NA,0,0,NA,1,1,NA,1,NA,NA,NA,NA,NA
Tucson,0,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0
Tucson,8,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
St Louis,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
New Orleans,-8.5,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,1
Boise,92,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,0
Tampa,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tampa,0,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
